organization,package,first_commit_date,last_commit_date,commit_count,first_month
swift-primitives,swift-abi-primitives,2026-01-11 21:52:56 +0100,2026-04-09 15:11:19 +0200,11,2026-01
swift-primitives,swift-abstract-syntax-tree-primitives,2026-01-19 22:24:31 +0100,2026-04-09 15:11:20 +0200,7,2026-01
swift-primitives,swift-affine-geometry-primitives,2026-01-21 08:42:02 +0100,2026-04-08 10:47:38 +0200,11,2026-01
swift-primitives,swift-affine-primitives,2026-01-09 17:29:00 +0100,2026-04-08 10:47:38 +0200,49,2026-01
swift-primitives,swift-algebra-affine-primitives,2026-02-06 13:39:46 +0100,2026-04-09 15:11:22 +0200,10,2026-02
swift-primitives,swift-algebra-cardinal-primitives,2026-02-06 13:39:43 +0100,2026-04-09 15:11:23 +0200,9,2026-02
swift-primitives,swift-algebra-field-primitives,2026-02-04 18:02:36 +0100,2026-04-09 15:11:25 +0200,9,2026-02
swift-primitives,swift-algebra-group-primitives,2026-02-04 18:02:36 +0100,2026-04-09 15:11:26 +0200,10,2026-02
swift-primitives,swift-algebra-law-primitives,2026-02-04 18:02:36 +0100,2026-04-09 15:11:27 +0200,12,2026-02
swift-primitives,swift-algebra-linear-primitives,2026-01-09 17:29:00 +0100,2026-04-09 15:11:28 +0200,27,2026-01
swift-primitives,swift-algebra-magma-primitives,2026-02-04 18:02:36 +0100,2026-04-09 15:11:29 +0200,8,2026-02
swift-primitives,swift-algebra-modular-primitives,2026-03-12 14:17:11 +0100,2026-04-08 10:47:38 +0200,6,2026-03
swift-primitives,swift-algebra-module-primitives,2026-02-04 18:02:36 +0100,2026-04-09 15:11:30 +0200,9,2026-02
swift-primitives,swift-algebra-monoid-primitives,2026-02-04 18:02:36 +0100,2026-04-09 15:11:31 +0200,9,2026-02
swift-primitives,swift-algebra-primitives,2026-01-09 17:29:00 +0100,2026-04-10 18:29:02 +0200,45,2026-01
swift-primitives,swift-algebra-ring-primitives,2026-02-04 18:02:36 +0100,2026-04-09 15:11:33 +0200,8,2026-02
swift-primitives,swift-algebra-semiring-primitives,2026-02-04 18:02:36 +0100,2026-04-09 15:11:34 +0200,8,2026-02
swift-primitives,swift-array-primitives,2026-01-19 22:24:31 +0100,2026-04-08 10:47:38 +0200,170,2026-01
swift-primitives,swift-ascii-parser-primitives,2026-03-05 07:03:40 +0100,2026-04-09 15:11:36 +0200,11,2026-03
swift-primitives,swift-ascii-primitives,2026-01-21 19:38:47 +0100,2026-04-09 15:11:37 +0200,20,2026-01
swift-primitives,swift-ascii-serializer-primitives,2026-03-05 07:03:45 +0100,2026-04-08 12:45:36 +0200,11,2026-03
swift-primitives,swift-async-primitives,2026-01-09 17:29:01 +0100,2026-04-13 12:46:40 +0200,114,2026-01
swift-primitives,swift-backend-primitives,2026-01-19 22:24:30 +0100,2026-04-09 15:11:38 +0200,8,2026-01
swift-primitives,swift-base62-primitives,2025-11-27 12:59:47 +0100,2026-04-09 15:11:39 +0200,35,2025-11
swift-primitives,swift-binary-parser-primitives,2026-01-29 15:23:41 +0100,2026-04-08 10:47:57 +0200,39,2026-01
swift-primitives,swift-binary-primitives,2026-01-09 17:29:01 +0100,2026-04-08 10:47:57 +0200,52,2026-01
swift-primitives,swift-bit-index-primitives,2026-02-03 13:30:38 +0100,2026-04-09 15:11:40 +0200,10,2026-02
swift-primitives,swift-bit-pack-primitives,2026-02-03 13:30:42 +0100,2026-04-09 15:11:42 +0200,17,2026-02
swift-primitives,swift-bit-primitives,2026-01-11 21:52:56 +0100,2026-04-09 15:11:44 +0200,49,2026-01
swift-primitives,swift-bit-vector-primitives,2026-02-03 13:30:45 +0100,2026-04-08 10:47:57 +0200,41,2026-02
swift-primitives,swift-bitset-primitives,2026-02-10 11:36:51 +0100,2026-04-09 15:11:45 +0200,12,2026-02
swift-primitives,swift-buffer-primitives,2026-01-09 17:29:01 +0100,2026-04-09 15:11:46 +0200,202,2026-01
swift-primitives,swift-cache-primitives,2026-01-17 18:01:17 +0100,2026-04-08 10:48:23 +0200,25,2026-01
swift-primitives,swift-cardinal-primitives,2026-01-26 22:00:29 +0100,2026-04-08 10:48:23 +0200,29,2026-01
swift-primitives,swift-clock-primitives,2026-01-09 17:29:02 +0100,2026-04-09 15:11:47 +0200,27,2026-01
swift-primitives,swift-coder-primitives,2026-01-21 19:38:54 +0100,2026-04-09 15:11:48 +0200,11,2026-01
swift-primitives,swift-collection-primitives,2026-01-09 17:29:02 +0100,2026-04-09 15:11:49 +0200,55,2026-01
swift-primitives,swift-comparison-primitives,2026-01-21 19:38:57 +0100,2026-04-09 15:11:51 +0200,33,2026-01
swift-primitives,swift-complex-primitives,2026-01-12 18:15:42 +0100,2026-04-09 15:11:52 +0200,17,2026-01
swift-primitives,swift-continuation-primitives,2026-01-21 19:39:00 +0100,2026-04-09 15:11:53 +0200,11,2026-01
swift-primitives,swift-cpu-primitives,2026-01-10 16:50:53 +0100,2026-04-09 15:11:54 +0200,21,2026-01
swift-primitives,swift-cyclic-index-primitives,2026-01-29 14:55:17 +0100,2026-04-09 15:11:55 +0200,11,2026-01
swift-primitives,swift-cyclic-primitives,2026-01-26 18:45:43 +0100,2026-04-08 10:48:23 +0200,17,2026-01
swift-primitives,swift-decimal-primitives,2026-01-11 10:27:21 +0100,2026-04-09 15:11:57 +0200,18,2026-01
swift-primitives,swift-dependency-primitives,2026-01-17 09:41:14 +0100,2026-04-09 15:11:59 +0200,23,2026-01
swift-primitives,swift-diagnostic-primitives,2026-01-19 22:24:31 +0100,2026-04-09 15:12:00 +0200,9,2026-01
swift-primitives,swift-dictionary-primitives,2026-01-19 22:24:31 +0100,2026-04-08 10:48:23 +0200,66,2026-01
swift-primitives,swift-dimension-primitives,2026-01-09 17:29:02 +0100,2026-04-08 10:48:23 +0200,36,2026-01
swift-primitives,swift-driver-primitives,2026-01-19 22:24:31 +0100,2026-04-09 15:12:01 +0200,8,2026-01
swift-primitives,swift-effect-primitives,2026-01-17 09:09:44 +0100,2026-04-09 15:12:02 +0200,16,2026-01
swift-primitives,swift-endian-primitives,2026-01-11 21:52:57 +0100,2026-04-09 15:12:03 +0200,10,2026-01
swift-primitives,swift-equation-primitives,2026-01-21 19:39:03 +0100,2026-04-09 15:12:04 +0200,22,2026-01
swift-primitives,swift-error-primitives,2026-01-15 16:18:51 +0100,2026-04-09 15:12:05 +0200,10,2026-01
swift-primitives,swift-finite-primitives,2026-01-16 14:53:43 +0100,2026-04-09 15:12:06 +0200,35,2026-01
swift-primitives,swift-formatting-primitives,2026-01-09 17:29:03 +0100,2026-04-08 10:48:23 +0200,20,2026-01
swift-primitives,swift-geometry-primitives,2026-01-09 17:29:03 +0100,2026-04-08 10:48:23 +0200,29,2026-01
swift-primitives,swift-graph-primitives,2026-01-19 22:24:31 +0100,2026-04-08 10:48:23 +0200,32,2026-01
swift-primitives,swift-handle-primitives,2026-01-21 19:39:09 +0100,2026-04-08 10:48:23 +0200,11,2026-01
swift-primitives,swift-hash-primitives,2026-01-21 19:39:13 +0100,2026-04-09 15:12:07 +0200,26,2026-01
swift-primitives,swift-hash-table-primitives,2026-01-22 18:02:33 +0100,2026-04-08 10:48:23 +0200,51,2026-01
swift-primitives,swift-heap-primitives,2026-01-19 22:24:31 +0100,2026-04-08 10:48:23 +0200,82,2026-01
swift-primitives,swift-identity-primitives,2026-01-09 17:29:04 +0100,2026-04-09 15:12:08 +0200,31,2026-01
swift-primitives,swift-index-primitives,2026-01-19 22:24:31 +0100,2026-04-09 15:12:09 +0200,70,2026-01
swift-primitives,swift-infinite-primitives,2026-01-16 21:58:38 +0100,2026-04-09 15:12:10 +0200,22,2026-01
swift-primitives,swift-input-primitives,2026-01-19 16:14:12 +0100,2026-04-09 15:12:11 +0200,43,2026-01
swift-primitives,swift-intermediate-representation-primitives,2026-01-19 22:24:31 +0100,2026-04-09 15:12:12 +0200,7,2026-01
swift-primitives,swift-kernel-primitives,2026-01-07 17:04:47 +0100,2026-04-13 22:47:08 +0200,124,2026-01
swift-primitives,swift-layout-primitives,2026-01-09 17:29:04 +0100,2026-04-09 15:12:15 +0200,15,2026-01
swift-primitives,swift-lexer-primitives,2026-01-19 22:24:31 +0100,2026-04-08 12:56:33 +0200,11,2026-01
swift-primitives,swift-lifetime-primitives,2026-01-11 21:52:57 +0100,2026-04-09 15:12:16 +0200,9,2026-01
swift-primitives,swift-link-primitives,2026-04-01 15:48:17 +0200,2026-04-02 10:53:38 +0200,3,2026-04
swift-primitives,swift-list-primitives,2026-01-20 08:29:18 +0100,2026-04-08 10:48:23 +0200,31,2026-01
swift-primitives,swift-loader-primitives,2026-01-11 21:47:10 +0100,2026-04-09 15:12:18 +0200,18,2026-01
swift-primitives,swift-locale-primitives,2026-01-09 17:29:05 +0100,2026-04-09 15:12:19 +0200,16,2026-01
swift-primitives,swift-logic-primitives,2026-01-16 09:55:07 +0100,2026-04-09 15:12:20 +0200,13,2026-01
swift-primitives,swift-machine-primitives,2026-01-19 13:42:03 +0100,2026-04-08 10:48:23 +0200,33,2026-01
swift-primitives,swift-matrix-primitives,2026-01-21 19:39:15 +0100,2026-04-02 10:53:44 +0200,8,2026-01
swift-primitives,swift-memory-primitives,2026-01-11 21:52:57 +0100,2026-04-08 10:48:24 +0200,108,2026-01
swift-primitives,swift-module-primitives,2026-01-19 22:24:31 +0100,2026-04-09 15:12:21 +0200,8,2026-01
swift-primitives,swift-network-primitives,2026-01-21 19:39:26 +0100,2026-04-09 15:12:22 +0200,11,2026-01
swift-primitives,swift-numeric-primitives,2026-01-10 19:38:05 +0100,2026-04-08 10:48:24 +0200,23,2026-01
swift-primitives,swift-optic-primitives,2026-01-16 21:12:50 +0100,2026-04-09 15:12:23 +0200,14,2026-01
swift-primitives,swift-ordering-primitives,2026-01-21 19:39:29 +0100,2026-04-08 10:48:24 +0200,24,2026-01
swift-primitives,swift-ordinal-primitives,2026-01-20 21:36:57 +0100,2026-04-09 15:12:24 +0200,42,2026-01
swift-primitives,swift-outcome-primitives,2026-01-11 21:52:57 +0100,2026-04-09 15:12:25 +0200,9,2026-01
swift-primitives,swift-ownership-primitives,2026-02-09 22:19:23 +0100,2026-04-09 15:12:26 +0200,26,2026-02
swift-primitives,swift-parser-machine-primitives,2026-01-29 21:25:24 +0100,2026-04-09 15:12:27 +0200,18,2026-01
swift-primitives,swift-parser-primitives,2026-01-09 17:29:06 +0100,2026-04-08 10:48:24 +0200,75,2026-01
swift-primitives,swift-path-primitives,2026-03-12 14:17:14 +0100,2026-04-12 09:45:31 +0200,14,2026-03
swift-primitives,swift-pool-primitives,2026-01-09 17:29:06 +0100,2026-04-08 09:21:13 +0200,46,2026-01
swift-primitives,swift-positioning-primitives,2026-01-09 17:29:06 +0100,2026-04-09 15:12:29 +0200,13,2026-01
swift-primitives,swift-predicate-primitives,2026-01-09 17:29:07 +0100,2026-04-09 15:12:30 +0200,16,2026-01
swift-primitives,swift-property-primitives,2026-01-21 20:16:02 +0100,2026-04-09 15:12:31 +0200,36,2026-01
swift-primitives,swift-queue-primitives,2026-01-20 08:29:10 +0100,2026-04-08 10:48:24 +0200,84,2026-01
swift-primitives,swift-random-primitives,2026-01-17 09:40:06 +0100,2026-04-09 15:12:32 +0200,10,2026-01
swift-primitives,swift-range-primitives,2026-01-21 19:39:32 +0100,2026-04-09 15:12:33 +0200,50,2026-01
swift-primitives,swift-reference-primitives,2026-01-17 08:23:40 +0100,2026-04-09 15:12:34 +0200,26,2026-01
swift-primitives,swift-region-primitives,2026-01-09 17:29:07 +0100,2026-04-08 10:48:24 +0200,17,2026-01
swift-primitives,swift-rendering-primitives,2026-03-12 14:13:43 +0100,2026-04-08 10:48:24 +0200,36,2026-03
swift-primitives,swift-sample-primitives,2026-03-12 14:17:17 +0100,2026-04-08 10:48:24 +0200,7,2026-03
swift-primitives,swift-scalar-primitives,2026-01-21 19:39:46 +0100,2026-04-09 15:12:36 +0200,9,2026-01
swift-primitives,swift-sequence-primitives,2026-01-21 19:39:49 +0100,2026-04-08 10:48:24 +0200,48,2026-01
swift-primitives,swift-serializer-primitives,2026-01-12 19:03:41 +0100,2026-04-09 15:12:37 +0200,17,2026-01
swift-primitives,swift-set-primitives,2026-01-19 22:24:30 +0100,2026-04-08 10:48:24 +0200,94,2026-01
swift-primitives,swift-slab-primitives,2026-01-09 17:29:08 +0100,2026-04-08 10:48:24 +0200,35,2026-01
swift-primitives,swift-slice-primitives,2026-01-21 19:39:52 +0100,2026-04-09 15:12:39 +0200,12,2026-01
swift-primitives,swift-source-primitives,2026-01-19 22:24:31 +0100,2026-04-08 10:48:24 +0200,12,2026-01
swift-primitives,swift-space-primitives,2026-01-11 21:52:57 +0100,2026-04-09 15:12:40 +0200,12,2026-01
swift-primitives,swift-stack-primitives,2026-01-19 22:10:39 +0100,2026-04-08 10:48:24 +0200,63,2026-01
swift-primitives,swift-standard-library-extensions,2026-01-09 17:29:08 +0100,2026-04-13 09:50:09 +0200,37,2026-01
swift-primitives,swift-state-primitives,2026-01-21 19:39:56 +0100,2026-04-09 15:12:42 +0200,11,2026-01
swift-primitives,swift-storage-primitives,2026-01-26 15:19:53 +0100,2026-04-08 10:48:24 +0200,130,2026-01
swift-primitives,swift-string-primitives,2026-01-15 15:16:16 +0100,2026-04-08 10:48:25 +0200,20,2026-01
swift-primitives,swift-symbol-primitives,2026-01-19 22:24:31 +0100,2026-04-09 15:12:43 +0200,7,2026-01
swift-primitives,swift-symmetry-primitives,2026-01-09 17:29:09 +0100,2026-04-09 15:12:44 +0200,24,2026-01
swift-primitives,swift-syntax-primitives,2026-01-19 22:24:31 +0100,2026-04-09 15:12:45 +0200,7,2026-01
swift-primitives,swift-system-primitives,2026-01-12 18:15:45 +0100,2026-04-09 13:34:47 +0200,17,2026-01
swift-primitives,swift-terminal-primitives,2026-01-11 21:38:56 +0100,2026-04-09 15:12:46 +0200,23,2026-01
swift-primitives,swift-test-primitives,2026-01-09 17:29:09 +0100,2026-04-08 10:48:26 +0200,49,2026-01
swift-primitives,swift-text-primitives,2026-01-19 22:24:31 +0100,2026-04-09 15:12:47 +0200,13,2026-01
swift-primitives,swift-time-primitives,2026-01-09 17:29:10 +0100,2026-04-08 10:48:26 +0200,22,2026-01
swift-primitives,swift-token-primitives,2026-01-19 22:24:31 +0100,2026-04-09 15:12:48 +0200,8,2026-01
swift-primitives,swift-transform-primitives,2026-01-21 19:39:59 +0100,2026-04-09 15:12:49 +0200,12,2026-01
swift-primitives,swift-tree-primitives,2026-01-20 12:31:09 +0100,2026-04-08 10:48:26 +0200,56,2026-01
swift-primitives,swift-type-primitives,2026-01-19 22:24:31 +0100,2026-04-09 15:12:50 +0200,7,2026-01
swift-primitives,swift-vector-primitives,2026-01-20 16:40:25 +0100,2026-04-08 10:48:26 +0200,41,2026-01
swift-primitives,swift-witness-primitives,2026-01-16 15:36:35 +0100,2026-04-08 10:48:26 +0200,18,2026-01
swift-standards,swift-color-standard,2025-12-22 14:39:45 +0100,2026-04-02 10:54:47 +0200,18,2025-12
swift-standards,swift-css-standard,2025-11-21 22:24:12 +0100,2026-04-02 10:54:48 +0200,31,2025-11
swift-standards,swift-darwin-standard,2026-01-21 19:39:43 +0100,2026-04-14 19:07:27 +0200,16,2026-01
swift-standards,swift-domain-standard,2025-07-24 12:06:53 +0200,2026-04-02 10:54:49 +0200,64,2025-07
swift-standards,swift-email-standard,2025-11-12 14:28:21 +0100,2026-04-02 10:54:50 +0200,47,2025-11
swift-standards,swift-emailaddress-standard,2025-07-24 12:17:10 +0200,2026-04-02 10:54:51 +0200,62,2025-07
swift-standards,swift-epub-standard,2026-01-11 21:58:53 +0100,2026-04-02 10:54:52 +0200,13,2026-01
swift-standards,swift-html-standard,2025-12-01 15:46:30 +0100,2026-04-02 10:54:53 +0200,26,2025-12
swift-standards,swift-ipv4-standard,2025-11-24 10:26:52 +0100,2026-04-02 10:54:54 +0200,23,2025-11
swift-standards,swift-ipv6-standard,2025-11-23 08:59:51 +0100,2026-04-02 10:54:56 +0200,23,2025-11
swift-standards,swift-json-feed-standard,2025-11-18 23:35:30 +0100,2026-04-02 10:54:57 +0200,33,2025-11
swift-standards,swift-locale-standard,2025-12-10 01:21:23 +0100,2026-04-02 10:54:58 +0200,19,2025-12
swift-standards,swift-pdf-standard,2025-12-02 11:22:04 +0100,2026-04-02 10:54:59 +0200,33,2025-12
swift-standards,swift-rfc-template,2026-01-11 21:58:53 +0100,2026-03-12 12:03:11 +0100,2,2026-01
swift-standards,swift-rss-standard,2025-11-19 07:28:41 +0100,2026-04-02 10:55:00 +0200,36,2025-11
swift-standards,swift-sockets-standard,2026-01-02 15:38:34 +0100,2026-04-02 10:55:01 +0200,11,2026-01
swift-standards,swift-svg-standard,2025-11-23 17:49:18 +0100,2026-04-02 10:55:03 +0200,31,2025-11
swift-standards,swift-time-standard,2025-12-22 23:08:21 +0100,2026-04-02 10:55:04 +0200,20,2025-12
swift-standards,swift-uri-standard,2025-11-17 11:20:41 +0100,2026-04-02 10:55:05 +0200,29,2025-11
swift-foundations,swift-abstract-syntax-tree,2026-01-19 22:24:30 +0100,2026-04-02 10:55:08 +0200,6,2026-01
swift-foundations,swift-application-binary-interface,2026-01-11 22:06:41 +0100,2026-02-23 14:38:22 +0100,2,2026-01
swift-foundations,swift-ascii,2026-01-12 12:57:19 +0100,2026-04-08 12:40:38 +0200,31,2026-01
swift-foundations,swift-async,2026-01-09 17:28:58 +0100,2026-04-13 09:32:15 +0200,41,2026-01
swift-foundations,swift-backend,2026-01-19 22:24:30 +0100,2026-04-02 10:55:11 +0200,6,2026-01
swift-foundations,swift-basic-auth,2026-01-28 22:53:19 +0100,2026-02-23 14:38:26 +0100,2,2026-01
swift-foundations,swift-certificates,2026-01-28 22:53:22 +0100,2026-02-23 14:38:27 +0100,2,2026-01
swift-foundations,swift-clocks,2026-03-01 12:02:13 +0100,2026-04-02 10:55:12 +0200,6,2026-03
swift-foundations,swift-color,2026-03-13 22:01:52 +0100,2026-04-02 10:55:13 +0200,4,2026-03
swift-foundations,swift-command-line,2026-01-28 22:53:25 +0100,2026-02-23 14:38:28 +0100,2,2026-01
